run	V(vref)
3.860000000000000e+02	1.213274e+00
3.870000000000000e+02	1.219880e+00
3.880000000000000e+02	1.214824e+00
3.890000000000000e+02	1.196441e+00
3.900000000000000e+02	1.197032e+00
3.910000000000000e+02	1.220559e+00
3.920000000000000e+02	1.232804e+00
3.930000000000000e+02	1.211489e+00
3.940000000000000e+02	1.233895e+00
3.950000000000000e+02	1.221742e+00
3.960000000000000e+02	1.214849e+00
3.970000000000000e+02	1.193277e+00
3.980000000000000e+02	1.233778e+00
3.990000000000000e+02	1.205251e+00
4.000000000000000e+02	1.231244e+00
4.010000000000000e+02	1.164501e+00
4.020000000000000e+02	1.210207e+00
4.030000000000000e+02	1.199966e+00
4.040000000000000e+02	1.182953e+00
4.050000000000000e+02	1.213289e+00
4.060000000000000e+02	1.201383e+00
4.070000000000000e+02	1.196074e+00
4.080000000000000e+02	1.209031e+00
4.090000000000000e+02	1.205731e+00
4.100000000000000e+02	1.170722e+00
4.110000000000000e+02	1.213554e+00
4.120000000000000e+02	1.208316e+00
4.130000000000000e+02	1.210936e+00
4.140000000000000e+02	1.225996e+00
4.150000000000000e+02	1.194795e+00
4.160000000000000e+02	1.221154e+00
4.170000000000000e+02	1.228658e+00
4.180000000000000e+02	1.227545e+00
4.190000000000000e+02	1.234383e+00
4.200000000000000e+02	1.203700e+00
4.210000000000000e+02	1.182080e+00
4.220000000000000e+02	1.252199e+00
4.230000000000000e+02	1.210883e+00
4.240000000000000e+02	1.213224e+00
4.250000000000000e+02	1.183644e+00
4.260000000000000e+02	1.216389e+00
4.270000000000000e+02	1.241092e+00
4.280000000000000e+02	1.212438e+00
4.290000000000000e+02	1.211243e+00
4.300000000000000e+02	1.229598e+00
4.310000000000000e+02	1.217772e+00
4.320000000000000e+02	1.223874e+00
4.330000000000000e+02	1.181528e+00
4.340000000000000e+02	1.193004e+00
4.350000000000000e+02	1.217258e+00
4.360000000000000e+02	1.219609e+00
4.370000000000000e+02	1.184466e+00
4.380000000000000e+02	1.205046e+00
4.390000000000000e+02	1.192142e+00
4.400000000000000e+02	1.198534e+00
4.410000000000000e+02	1.227951e+00
4.420000000000000e+02	1.165323e+00
4.430000000000000e+02	1.204281e+00
4.440000000000000e+02	1.215059e+00
4.450000000000000e+02	1.225900e+00
4.460000000000000e+02	1.193284e+00
4.470000000000000e+02	1.188307e+00
4.480000000000000e+02	1.189827e+00
4.490000000000000e+02	1.218701e+00
4.500000000000000e+02	1.249552e+00
4.510000000000000e+02	1.205566e+00
4.520000000000000e+02	1.221681e+00
4.530000000000000e+02	1.188611e+00
4.540000000000000e+02	1.184285e+00
4.550000000000000e+02	1.194450e+00
4.560000000000000e+02	1.195699e+00
4.570000000000000e+02	1.220026e+00
4.580000000000000e+02	1.187158e+00
4.590000000000000e+02	1.218278e+00
4.600000000000000e+02	1.217761e+00
4.610000000000000e+02	1.208324e+00
4.620000000000000e+02	1.203258e+00
4.630000000000000e+02	1.211609e+00
4.640000000000000e+02	1.236293e+00
4.650000000000000e+02	1.210088e+00
4.660000000000000e+02	1.180099e+00
4.670000000000000e+02	1.236521e+00
4.680000000000000e+02	1.193189e+00
4.690000000000000e+02	1.178732e+00
4.700000000000000e+02	1.188217e+00
